Analyzing up to 1,000,000 ...
Sieve done in 0.73s

=== Record Setters (m where f(m) exceeds all prior f values) ===
         m    τ(m)    f(m)=m+τ  δ=τ(m)-1
      2300      18        2318        17
      2304      27        2331        26
      2310      32        2342        31
      2328      16        2344        15
      2336      12        2348        11
      2340      36        2376        35
      2352      30        2382        29
      2370      16        2386        15
      2376      32        2408        31
      2394      24        2418        23
      2400      36        2436        35
      2420      18        2438        17
      2424      16        2440        15
      2430      24        2454        23
      2436      24        2460        23
      2448      30        2478        29
      2460      24        2484        23
      2464      24        2488        23
      2475      18        2493        17
      2478      16        2494        15
      2480      20        2500        19
      2484      24        2508        23
      2496      28        2524        27
      2508      24        2532        23
      2520      48        2568        47
      2550      24        2574        23
      2560      20        2580        19
      2565      16        2581        15
      2568      16        2584        15
      2574      24        2598        23
      2580      24        2604        23
      2590      16        2606        15
      2592      30        2622        29
      2600      24        2624        23
      2604      24        2628        23
      2610      24        2634        23
      2622      16        2638        15
      2625      16        2641        15
      2628      18        2646        17
      2632      16        2648        15
      2640      40        2680        39
      2660      24        2684        23
      2664      24        2688        23
      2680      16        2696        15
      2688      32        2720        31
      2700      36        2736        35
      2720      24        2744        23
      2730      32        2762        31
      2736      30        2766        29
      2754      20        2774        19
      2760      32        2792        31
      2772      36        2808        35
      2790      24        2814        23
      2800      30        2830        29
      2808      32        2840        31
      2820      24        2844        23
      2832      20        2852        19
      2835      20        2855        19
      2840      16        2856        15
      2844      18        2862        17
      2850      24        2874        23
      2856      32        2888        31
      2880      42        2922        41
      2904      24        2928        23
      2912      24        2936        23
      2916      21        2937        20
      2925      18        2943        17
      2928      20        2948        19
      2940      36        2976        35
      2960      20        2980        19
      2964      24        2988        23
      2970      32        3002        31
      2988      18        3006        17
      2992      20        3012        19
      3000      32        3032        31
      3024      40        3064        39
      3056      10        3066         9
      3059       8        3067         7
      3060      36        3096        35
      3078      20        3098        19
      3080      32        3112        31
      3096      24        3120        23
      3105      16        3121        15
      3108      24        3132        23
      3120      40        3160        39
      3150      36        3186        35
      3168      36        3204        35
      3190      16        3206        15
      3192      32        3224        31
      3210      16        3226        15
      3213      16        3229        15
      3216      20        3236        19
      3220      24        3244        23
      3230      16        3246        15
      3234      24        3258        23
      3240      40        3280        39
      3264      28        3292        27
      3276      36        3312        35
      3300      36        3336        35
      3312      30        3342        29
      3328      18        3346        17
      3330      24        3354        23
      3344      20        3364        19
      3348      24        3372        23
      3360      48        3408        47
      3400      24        3424        23
      3402      24        3426        23
      3408      20        3428        19
      3416      16        3432        15
      3420      36        3456        35
      3432      32        3464        31
      3444      24        3468        23
      3450      24        3474        23
      3456      32        3488        31
      3465      24        3489        23
      3472      20        3492        19
      3480      32        3512        31
      3498      16        3514        15
      3500      24        3524        23
      3510      32        3542        31
      3520      28        3548        27
      3528      36        3564        35
      3552      24        3576        23
      3564      30        3594        29
      3570      32        3602        31
      3584      20        3604        19
      3588      24        3612        23
      3600      45        3645        44
      3630      24        3654        23
      3640      32        3672        31
      3648      28        3676        27
      3654      24        3678        23
      3660      24        3684        23
      3672      32        3704        31
      3690      24        3714        23
      3696      40        3736        39
      3720      32        3752        31
      3738      16        3754        15
      3740      24        3764        23
      3744      36        3780        35
